名次 姓名 语文 数学 英语 物理 化学 生物 政治 历史 地理 总分 平均分
0.00 平均 69.10 70.70 68.53 69.60 72.00 69.40 60.43 71.00 74.80 625.57 69.51
1.00 小沈 94.00 95.00 72.00 86.00 78.00 78.00 不及格 95.00 96.00 737.00 81.89
2.00 小郑 84.00 93.00 不及格 94.00 86.00 71.00 69.00 81.00 71.00 708.00 78.67
3.00 小朱 97.00 91.00 88.00 86.00 86.00 不及格 61.00 不及格 82.00 701.00 77.89
4.00 小施 88.00 74.00 不及格 不及格 78.00 87.00 96.00 88.00 90.00 687.00 76.33
5.00 小何 86.00 不及格 86.00 不及格 76.00 92.00 79.00 95.00 不及格 663.00 73.67
6.00 小张 不及格 87.00 不及格 88.00 95.00 78.00 91.00 不及格 94.00 662.00 73.56
7.00 小赵 73.00 85.00 80.00 82.00 93.00 不及格 64.00 87.00 不及格 660.00 73.33
8.00 小金 78.00 84.00 77.00 不及格 79.00 82.00 不及格 74.00 94.00 660.00 73.33
9.00 小华 不及格 85.00 85.00 72.00 62.00 87.00 94.00 73.00 不及格 645.00 71.67
10.00 小陈 98.00 90.00 64.00 71.00 90.00 65.00 不及格 不及格 89.00 640.00 71.11
11.00 小魏 75.00 不及格 不及格 85.00 不及格 60.00 97.00 99.00 69.00 638.00 70.89
12.00 小卫 70.00 67.00 不及格 96.00 94.00 69.00 62.00 72.00 72.00 635.00 70.56
13.00 小孙 95.00 64.00 87.00 79.00 不及格 70.00 不及格 72.00 87.00 633.00 70.33
14.00 小吴 不及格 83.00 80.00 94.00 90.00 86.00 不及格 不及格 64.00 629.00 69.89
15.00 小吕 不及格 不及格 81.00 不及格 95.00 80.00 不及格 81.00 99.00 619.00 68.78
16.00 小杨 86.00 93.00 87.00 不及格 75.00 不及格 不及格 60.00 81.00 617.00 68.56
17.00 小钱 不及格 91.00 81.00 92.00 72.00 不及格 不及格 65.00 83.00 617.00 68.56
18.00 小秦 不及格 不及格 64.00 78.00 89.00 91.00 不及格 94.00 61.00 612.00 68.00
19.00 小孔 不及格 86.00 88.00 83.00 80.00 90.00 不及格 78.00 不及格 610.00 67.78
20.00 小曹 63.00 不及格 不及格 94.00 不及格 不及格 73.00 91.00 78.00 607.00 67.44
21.00 小楮 90.00 不及格 70.00 不及格 88.00 73.00 69.00 74.00 60.00 605.00 67.22
22.00 小严 不及格 71.00 77.00 60.00 91.00 79.00 90.00 不及格 61.00 602.00 66.89
23.00 小许 不及格 72.00 99.00 不及格 不及格 92.00 62.00 92.00 65.00 601.00 66.78
24.00 小蒋 82.00 不及格 63.00 70.00 60.00 67.00 不及格 69.00 92.00 600.00 66.67
25.00 小李 87.00 不及格 81.00 不及格 73.00 不及格 不及格 74.00 97.00 591.00 65.67
26.00 小冯 不及格 74.00 83.00 69.00 不及格 78.00 73.00 不及格 不及格 587.00 65.22
27.00 小尤 74.00 67.00 63.00 不及格 不及格 89.00 不及格 66.00 76.00 578.00 64.22
28.00 小韩 83.00 70.00 不及格 74.00 不及格 不及格 不及格 93.00 78.00 578.00 64.22
29.00 小王 75.00 83.00 不及格 不及格 72.00 不及格 不及格 64.00 80.00 525.00 58.33
30.00 小周 不及格 不及格 66.00 65.00 不及格 不及格 70.00 不及格 89.00 520.00 57.78
